Nom,Nombre de parties gagnées,Pourcentage de parties gagnées(%),Nombre d'égalités,Pourcentage d'égalités(%),Nombre de parties perdues,Pourcentage de parties perdues(%),Score moyen
Stacy,5273,52.73,450,4.5,4277,42.77,23.1769
Richardo,1499,14.990001,320,3.2,8181,81.81,18.799
Sara,1493,14.929999,306,3.06,8201,82.01,18.2509
Alban,1096,10.96,251,2.51,8653,86.53,17.7585
RobotDiscret1,2285,22.849998,434,4.34,7281,72.81,22.5001
RobotDiscret2,2246,22.460001,460,4.6,7294,72.939995,22.556
RobotDiscret3,2259,22.59,486,4.86,7255,72.549995,22.5253
RobotDiscret4,2317,23.17,466,4.66,7217,72.17,22.5279
Stacy,5269,52.69,433,4.33,4298,42.98,23.1647
Richardo,1602,16.02,302,3.02,8096,80.96,19.0542
Sara,1537,15.369999,286,2.86,8177,81.770004,18.1365
Alban,971,9.71,259,2.5900002,8770,87.7,17.6044
RobotDiscret1,2314,23.14,460,4.6,7226,72.259995,22.4899
RobotDiscret2,2227,22.27,467,4.67,7306,73.06,22.4791
RobotDiscret3,2279,22.789999,490,4.9,7231,72.31,22.4612
RobotDiscret4,2267,22.67,479,4.79,7254,72.53999,22.5148
Stacy,5264,52.640003,465,4.65,4271,42.71,23.1254
Richardo,1544,15.440001,294,2.94,8162,81.62,18.6985
Sara,1527,15.27,313,3.13,8160,81.6,18.2303
Alban,1030,10.3,235,2.35,8735,87.35,17.5542
RobotDiscret1,2224,22.24,473,4.73,7303,73.03,22.4143
RobotDiscret2,2251,22.51,484,4.84,7265,72.649994,22.4525
RobotDiscret3,2285,22.849998,472,4.7200003,7243,72.43,22.4823
RobotDiscret4,2322,23.22,471,4.71,7207,72.07,22.5693
Stacy,575,57.5,47,4.7,378,37.8,23.54
Richardo,150,15.000001,26,2.6000001,824,82.4,18.533
Sara,131,13.099999,21,2.1,848,84.799995,17.641
Alban,89,8.900001,21,2.1,890,89.0,17.324
RobotDiscret1,256,25.6,41,4.1,703,70.3,22.203
RobotDiscret2,229,22.9,45,4.5,726,72.6,22.42
RobotDiscret3,234,23.4,43,4.3,723,72.299995,22.162
RobotDiscret4,198,19.8,46,4.6,756,75.6,22.178
Stacy,486,48.6,55,5.5,459,45.899998,22.6
Richardo,146,14.599999,35,3.5,819,81.9,18.561
Sara,227,22.7,29,2.8999999,744,74.4,19.362
Alban,70,7.0,26,2.6000001,904,90.4,17.626
RobotDiscret1,222,22.2,44,4.4,734,73.4,22.555
RobotDiscret2,227,22.7,42,4.2,731,73.1,22.268
RobotDiscret3,259,25.9,48,4.8,693,69.3,22.752
RobotDiscret4,202,20.2,50,5.0,748,74.8,22.517
Stacy,486,48.6,47,4.7,467,46.7,22.546
Richardo,90,9.0,22,2.2,888,88.8,17.137
Sara,254,25.400002,38,3.8,708,70.8,20.069
Alban,105,10.5,24,2.4,871,87.1,17.658
RobotDiscret1,213,21.3,57,5.7,730,73.0,22.579
RobotDiscret2,231,23.1,45,4.5,724,72.399994,22.556
RobotDiscret3,207,20.7,37,3.7,756,75.6,22.298
RobotDiscret4,255,25.5,54,5.4,691,69.1,22.521
Stacy,510,51.0,39,3.9,451,45.100002,22.965
Richardo,178,17.800001,30,3.0,792,79.2,19.112
Sara,142,14.200001,34,3.4,824,82.4,18.193
Alban,109,10.9,24,2.4,867,86.7,17.577
RobotDiscret1,239,23.9,40,4.0,721,72.1,22.539
RobotDiscret2,233,23.3,48,4.8,719,71.9,22.771
RobotDiscret3,206,20.6,55,5.5,739,73.9,22.555
RobotDiscret4,226,22.6,57,5.7,717,71.7,22.582
Stacy,533,53.3,39,3.9,428,42.8,23.225
Richardo,155,15.5,27,2.7,818,81.8,18.834
Sara,145,14.5,28,2.8000002,827,82.700005,18.272
Alban,110,11.0,21,2.1,869,86.9,17.587
RobotDiscret1,223,22.300001,48,4.8,729,72.899994,22.097
RobotDiscret2,219,21.9,48,4.8,733,73.299995,22.433
RobotDiscret3,246,24.6,54,5.4,700,70.0,22.661
RobotDiscret4,219,21.9,46,4.6,735,73.5,22.3
Stacy,507,50.700005,53,5.2999997,440,44.0,23.054
Richardo,169,16.9,36,3.6,795,79.5,19.2
